Delivery_person_Age,Delivery_person_Ratings,Road_traffic_density,Vehicle_condition,multiple_deliveries,Festival,Time_taken(min),Geo_Distance,Sunny,Fog,Motorcycle,Urban_Density,Hour,Night,Rush_Hour,month_even
31,4.9,2,1.0,1,0,16,6.0,0,1,1,3,15,0,0,0
31,4.8,1,2.0,1,0,23,17.0,0,0,0,3,22,1,0,0
25,5,1,0.0,0,0,15,4.0,0,1,1,3,22,1,0,1
28,4.8,4,0.0,1,0,36,12.0,0,0,1,3,20,0,0,1
31,4.7,1,2.0,0,0,16,9.0,0,1,1,3,23,1,0,0
24,4.7,2,0.0,0,0,19,13.0,1,0,1,2,18,0,1,1
39,4.6,1,1.0,1,0,27,13.0,1,0,1,3,23,1,0,1
39,4.2,4,2.0,1,0,49,12.0,0,1,0,1,20,0,0,1
36,4.7,4,1.0,1,0,30,9.0,0,1,1,3,20,0,0,0
25,4.8,1,1.0,0,0,18,11.0,0,0,0,2,22,1,0,0
33,4.9,4,2.0,0,0,22,4.0,1,0,0,3,22,1,0,0
30,4.4,1,2.0,1,0,34,10.0,0,1,0,3,22,1,0,1
33,5,1,0.0,0,0,24,16.0,0,0,1,2,23,1,0,0
36,4.9,2,2.0,1,0,17,6.0,0,1,0,3,15,0,0,0
21,4.8,1,2.0,0,0,14,2.0,0,0,0,3,10,0,0,1
39,4.9,4,2.0,1,0,30,7.0,0,0,1,3,21,0,0,1
23,4.8,1,1.0,1,0,15,3.0,0,0,0,3,10,0,0,0
35,4.8,2,2.0,1,0,16,6.0,0,1,0,2,16,0,1,0
39,4.6,4,1.0,1,0,36,13.0,0,1,0,3,20,0,0,0
22,4.7,3,1.0,1,0,18,6.0,1,0,0,2,12,0,0,0
32,4.6,2,1.0,0,0,17,6.0,0,1,0,3,15,0,0,0
24,4.8,1,1.0,1,0,15,12.0,0,0,1,2,22,1,0,0
29,4.7,1,0.0,1,0,17,3.0,0,1,1,3,10,0,0,0
26,4.7,1,1.0,0,0,10,9.0,0,1,1,3,0,0,0,0
20,4.5,4,1.0,1,0,27,7.0,0,1,1,3,21,0,0,0
35,4.1,4,1.0,2,0,37,13.0,0,0,1,3,20,0,0,1
39,4.6,4,1.0,2,0,44,13.0,0,1,0,3,21,0,0,0
34,4.7,3,2.0,1,0,28,6.0,0,0,0,3,12,0,0,0
27,4.7,4,2.0,1,0,42,17.0,0,1,0,3,21,0,0,1
30,4.8,1,1.0,1,0,25,17.0,0,0,1,3,23,1,0,1
25,4.4,2,2.0,1,0,39,17.0,0,1,0,3,18,0,1,0
25,4.7,2,0.0,0,0,20,16.0,0,0,1,2,18,0,1,0
30,5,3,1.0,1,0,31,2.0,0,0,1,3,11,0,0,0
24,4.6,4,1.0,0,0,13,9.0,0,0,1,3,20,0,0,0
25,4.8,3,1.0,1,0,19,6.0,0,0,0,2,12,0,0,1
37,4.6,1,0.0,2,1,42,12.0,0,1,1,2,23,1,0,1
24,5,1,0.0,1,0,23,1.0,0,1,1,3,10,0,0,0
25,4.2,4,0.0,1,0,39,16.0,0,0,1,3,21,0,0,0
32,4.6,1,2.0,1,0,25,1.0,0,0,1,3,10,0,0,0
38,4.9,1,2.0,1,0,15,3.0,0,1,0,2,8,0,1,0
36,4.8,2,2.0,0,0,15,13.0,1,0,0,3,17,0,1,0
29,5,1,0.0,0,0,18,7.0,1,0,1,3,22,1,0,0
36,4.7,1,2.0,0,0,29,13.0,0,0,0,3,23,1,0,1
33,4.7,1,0.0,0,0,20,7.0,0,1,1,3,23,1,0,0
36,4.4,3,2.0,1,0,39,6.0,0,1,0,3,12,0,0,0
21,4.8,1,0.0,0,0,19,16.0,0,0,1,3,23,1,0,1
25,4.8,1,1.0,1,0,19,4.0,0,1,0,2,0,0,0,0
23,4.8,1,0.0,0,0,17,19.0,0,0,1,3,23,1,0,0
25,4.6,1,2.0,1,0,15,1.0,0,0,1,2,10,0,0,0
24,4.3,1,0.0,0,0,19,3.0,0,0,1,2,9,0,1,0
27,4.6,4,0.0,1,0,29,13.0,0,0,1,3,21,0,0,1
23,4.8,1,2.0,1,0,22,16.0,0,1,0,2,22,1,0,0
21,4.3,4,1.0,0,0,42,20.0,0,1,0,3,20,0,0,0
27,4.7,1,2.0,0,0,12,3.0,0,0,0,2,11,0,0,0
32,4.2,4,1.0,1,0,38,20.0,0,1,1,3,20,0,0,1
25,4.6,1,0.0,1,0,23,16.0,1,0,1,3,23,1,0,1
39,4.7,1,1.0,0,0,15,2.0,0,1,0,3,10,0,0,0
27,4.6,1,0.0,1,0,24,12.0,1,0,1,3,23,1,0,0
39,3.8,4,1.0,0,0,37,16.0,0,0,1,3,20,0,0,0
31,4.8,1,1.0,0,0,24,7.0,0,0,0,3,22,1,0,0
31,4.8,1,2.0,0,0,13,9.0,1,0,0,3,23,1,0,0
36,4.9,2,0.0,1,0,42,12.0,0,1,1,2,18,0,1,1
20,4.9,1,0.0,1,0,17,13.0,0,0,1,3,22,1,0,0
24,4.6,4,0.0,0,0,25,4.0,0,1,1,3,21,0,0,0
39,4.2,2,1.0,0,0,39,16.0,0,1,0,3,18,0,1,0
37,4.8,3,2.0,0,0,18,6.0,1,0,0,3,15,0,0,0
32,4.9,2,2.0,1,0,28,6.0,0,0,1,3,17,0,1,0
22,4.5,1,1.0,1,0,18,7.0,0,0,0,3,22,1,0,1
23,4.9,1,1.0,0,0,18,20.0,0,0,0,3,0,0,0,0
33,4.7,4,1.0,1,0,49,16.0,0,1,0,3,21,0,0,1
27,4.6,1,0.0,1,0,21,12.0,1,0,1,3,23,1,0,0
34,4.7,3,2.0,0,0,23,6.0,1,0,0,3,14,0,0,0
26,5,1,2.0,1,0,11,1.0,0,1,0,2,10,0,0,0
31,4.6,4,0.0,0,0,25,9.0,0,1,1,3,21,0,0,0
32,4.9,1,2.0,0,0,18,3.0,0,1,1,3,8,0,1,0
27,4.7,1,1.0,0,0,14,3.0,0,1,1,3,9,0,1,0
21,4.9,2,0.0,2,0,36,13.0,0,0,1,3,18,0,1,1
24,4.9,2,1.0,1,0,17,6.0,0,1,0,2,16,0,1,0
33,4.4,1,0.0,1,0,28,1.0,0,0,1,3,8,0,1,0
20,4.6,4,0.0,0,1,44,13.0,0,1,1,3,20,0,0,0
31,4.3,1,0.0,1,0,20,9.0,0,0,1,3,23,1,0,0
36,5,4,1.0,1,0,35,10.0,0,1,1,3,20,0,0,0
31,4.2,4,0.0,1,0,50,17.0,0,0,1,3,21,0,0,0
39,4.1,4,1.0,1,0,34,9.0,0,0,0,3,21,0,0,0
29,4.6,3,1.0,0,0,23,6.0,0,0,0,2,15,0,0,0
37,4.9,2,0.0,1,0,27,4.0,0,1,1,3,18,0,1,0
33,4.7,3,0.0,0,0,26,6.0,0,1,1,2,12,0,0,0
31,3.9,1,1.0,1,0,35,10.0,0,1,0,3,23,1,0,0
37,4.6,3,0.0,1,0,41,6.0,0,0,1,2,12,0,0,0
24,4.6,2,0.0,0,0,30,17.0,0,0,1,3,18,0,1,1
23,4.8,1,1.0,1,0,19,3.0,0,0,0,3,10,0,0,0
36,4.9,1,1.0,1,0,27,1.0,0,0,0,3,9,0,1,0
39,4.8,3,0.0,1,0,28,6.0,0,1,1,3,12,0,0,0
20,4.7,2,0.0,1,0,24,12.0,0,0,1,3,17,0,1,0
20,5,4,0.0,1,0,36,20.0,0,1,1,2,19,0,0,0
29,4.3,1,0.0,0,0,28,9.0,0,0,1,3,23,1,0,1
36,4.8,2,2.0,1,0,31,17.0,0,1,1,2,18,0,1,0
36,4,4,0.0,3,0,44,13.0,1,0,1,3,20,0,0,0
22,4.8,1,1.0,1,0,15,12.0,0,0,0,3,22,1,0,0
38,4.4,2,0.0,1,0,33,10.0,0,0,1,3,17,0,1,0
39,4.9,4,0.0,0,0,30,7.0,0,1,1,3,20,0,0,0
24,4.9,2,1.0,1,0,22,7.0,0,0,0,3,18,0,1,0
30,4.1,1,0.0,0,0,43,10.0,0,1,1,3,0,0,0,1
35,4.8,2,0.0,3,0,48,13.0,0,1,1,3,17,0,1,1
33,4.5,1,2.0,1,0,19,13.0,0,0,0,3,0,0,0,1
39,4.7,2,1.0,1,0,21,10.0,0,0,1,2,18,0,1,1
31,4.3,4,1.0,0,0,44,12.0,0,0,1,3,21,0,0,0
37,4.5,1,2.0,0,0,26,1.0,0,0,0,3,8,0,1,0
37,4.7,1,1.0,1,0,26,4.0,0,0,0,3,22,1,0,0
33,5,3,1.0,1,0,31,1.0,0,0,1,3,11,0,0,0
24,4.6,1,2.0,1,0,19,9.0,0,0,0,2,23,1,0,0
33,4.5,4,1.0,0,0,18,11.0,1,0,0,3,19,0,0,1
39,4.7,2,2.0,1,0,38,10.0,0,1,1,3,19,0,0,1
37,4.6,2,1.0,1,0,32,13.0,0,1,1,3,18,0,1,0
25,4.9,1,2.0,1,0,17,7.0,0,0,0,3,22,1,0,0
28,4.8,2,1.0,1,0,11,9.0,0,1,0,2,19,0,0,0
38,4.7,3,2.0,1,0,31,6.0,0,0,1,3,13,0,0,0
31,4.6,2,0.0,0,0,25,9.0,0,0,1,3,18,0,1,0
25,4.8,4,2.0,1,0,22,9.0,0,1,1,3,20,0,0,0
35,4.9,4,0.0,3,0,43,10.0,0,1,1,3,21,0,0,1
39,4.7,4,0.0,1,1,42,10.0,0,1,1,3,19,0,0,0
38,3.9,4,1.0,0,0,42,12.0,0,0,1,3,19,0,0,1
35,4.7,4,1.0,1,0,34,4.0,0,1,1,3,21,0,0,0
29,4.7,1,1.0,1,0,17,2.0,0,0,1,3,10,0,0,0
27,4.6,4,1.0,0,0,25,4.0,0,0,0,3,20,0,0,0
38,4.3,4,0.0,1,1,54,13.0,0,0,1,1,21,0,0,1
36,4.9,1,2.0,0,0,21,10.0,0,0,1,3,23,1,0,1
26,4.1,4,2.0,1,0,36,13.0,0,1,1,3,19,0,0,1
36,4.9,2,1.0,0,0,17,9.0,1,0,1,3,17,0,1,0
21,4.7,1,0.0,1,0,16,1.0,1,0,1,3,9,0,1,0
35,4.7,4,2.0,1,0,27,12.0,1,0,0,3,20,0,0,1
20,4.5,3,2.0,1,0,26,6.0,0,1,1,3,12,0,0,0
23,4.6,4,0.0,2,1,46,13.0,0,1,1,3,21,0,0,0
37,5,4,0.0,0,0,29,9.0,1,0,1,3,20,0,0,1
26,4.8,4,0.0,1,0,23,9.0,0,0,1,3,19,0,0,0
26,4.9,2,1.0,0,0,28,16.0,0,0,1,3,17,0,1,0
29,4.8,4,0.0,1,0,25,9.0,0,1,1,3,19,0,0,0
29,4.7,1,2.0,0,0,11,3.0,0,0,1,3,10,0,0,0
21,4.9,2,1.0,1,0,26,4.0,0,0,0,3,18,0,1,1
22,4.3,1,0.0,1,0,23,3.0,0,0,1,3,10,0,0,0
31,4,2,1.0,2,0,39,11.0,0,1,1,3,18,0,1,0
36,4.8,2,0.0,1,0,43,10.0,0,1,1,3,18,0,1,1
32,4.7,1,2.0,0,0,25,1.0,0,0,0,3,9,0,1,0
25,5,2,1.0,0,0,27,9.0,0,0,1,3,18,0,1,0
27,4.5,2,2.0,1,0,29,6.0,0,0,0,3,15,0,0,0
32,4.1,2,0.0,1,0,33,10.0,0,0,1,3,18,0,1,0
23,4.7,2,1.0,1,0,19,6.0,0,1,1,2,17,0,1,0
39,4.4,2,0.0,1,0,33,20.0,1,0,1,3,18,0,1,0
20,4.8,4,1.0,1,0,28,9.0,0,1,1,3,19,0,0,0
29,4.6,4,1.0,1,0,29,4.0,0,0,0,3,20,0,0,1
26,4.9,1,2.0,1,0,18,20.0,0,0,0,3,23,1,0,0
25,5,1,1.0,1,0,14,1.0,0,0,1,3,11,0,0,1
34,4.7,2,1.0,1,0,30,6.0,0,0,1,3,16,0,1,0
31,4.9,3,0.0,0,0,28,6.0,1,0,1,3,15,0,0,1
24,4.7,4,0.0,1,0,39,20.0,0,1,1,3,20,0,0,0
30,4.9,2,2.0,0,0,30,13.0,0,1,1,3,19,0,0,1
36,4.8,2,0.0,1,0,36,19.0,0,0,1,3,18,0,1,0
26,4.7,4,0.0,1,0,43,20.0,0,1,1,3,19,0,0,1
20,4.8,2,2.0,1,0,25,4.0,0,0,0,3,18,0,1,0
33,4.7,2,2.0,1,0,15,7.0,0,1,0,2,18,0,1,0
34,4,4,0.0,2,0,39,13.0,0,0,1,3,21,0,0,1
36,4.6,1,0.0,1,0,20,12.0,0,0,1,3,23,1,0,1
33,4.6,1,1.0,1,0,15,2.0,0,1,1,3,11,0,0,0
22,4.8,1,1.0,1,0,16,16.0,0,0,1,3,23,1,0,1
38,4.7,1,2.0,1,0,19,1.0,1,0,0,3,11,0,0,0
27,4.9,1,2.0,0,0,20,12.0,0,1,0,3,23,1,0,1
32,4.8,4,2.0,1,0,25,10.0,1,0,0,3,21,0,0,1
26,4.8,4,0.0,1,0,43,12.0,0,1,1,3,19,0,0,0
29,4.5,1,0.0,0,0,15,19.0,0,0,1,2,23,1,0,1
31,4.5,4,0.0,0,0,29,12.0,1,0,1,2,20,0,0,1
28,4.6,3,2.0,0,0,14,6.0,0,0,1,3,12,0,0,0
21,4.8,2,1.0,1,0,11,8.0,1,0,1,3,19,0,0,0
30,4.9,1,1.0,1,0,29,12.0,0,0,1,3,23,1,0,0
29,4.7,2,2.0,1,0,11,5.0,0,1,1,2,15,0,0,0
20,4.8,3,1.0,0,0,14,1.0,1,0,1,3,11,0,0,0
28,5,1,0.0,0,0,15,13.0,0,0,1,2,22,1,0,1
25,4.7,1,0.0,1,0,16,10.0,0,0,1,3,23,1,0,0
38,4.8,1,1.0,1,0,20,3.0,0,0,1,3,10,0,0,0
39,4.9,1,1.0,1,0,26,4.0,0,0,1,3,22,1,0,0
26,4.9,2,1.0,0,0,26,9.0,0,0,0,3,17,0,1,0
33,4.4,4,1.0,0,0,43,10.0,0,0,1,2,21,0,0,0
24,4.6,2,0.0,1,0,25,9.0,0,0,1,2,18,0,1,0
24,4.9,2,0.0,1,0,28,6.0,0,1,1,3,15,0,0,0
33,4.5,1,2.0,0,0,17,13.0,0,0,0,3,23,1,0,1
35,4.2,4,1.0,1,0,44,13.0,0,0,1,3,19,0,0,0
27,4.2,4,0.0,1,0,33,13.0,0,0,1,3,20,0,0,1
29,4.5,2,0.0,0,0,15,4.0,1,0,1,3,18,0,1,0
34,4.7,1,1.0,1,0,27,19.0,0,1,0,3,23,1,0,1
20,4.7,3,2.0,1,0,25,2.0,0,1,0,3,11,0,0,0
29,4.8,3,1.0,1,0,18,6.0,1,0,1,3,13,0,0,0
22,4.9,2,2.0,0,0,21,9.0,0,0,0,3,18,0,1,0
35,4.9,4,0.0,2,0,53,10.0,0,1,1,3,21,0,0,1
32,4.4,4,0.0,3,0,42,17.0,0,0,1,3,21,0,0,1
28,4.9,4,2.0,1,0,20,16.0,1,0,1,3,21,0,0,1
30,4.7,1,1.0,0,0,29,20.0,0,1,0,3,22,1,0,1
22,4.7,4,2.0,0,0,15,17.0,0,0,0,2,20,0,0,1
36,4.7,2,0.0,1,0,30,7.0,0,1,1,3,18,0,1,0
23,4.8,4,0.0,1,0,28,19.0,0,0,1,3,20,0,0,1
29,4.5,1,2.0,1,0,15,19.0,0,0,1,3,22,1,0,1
34,4.9,4,0.0,3,1,50,17.0,0,0,1,2,22,1,0,0
38,4.1,3,0.0,1,1,41,1.0,0,0,1,3,11,0,0,0
35,5,2,0.0,1,0,37,10.0,0,1,1,3,17,0,1,0
38,4.7,4,2.0,1,0,28,9.0,0,1,0,3,22,1,0,0
32,4.3,2,1.0,2,0,35,10.0,0,1,0,3,18,0,1,1
20,4.5,4,2.0,1,0,27,10.0,0,0,1,3,20,0,0,1
25,4.9,4,0.0,2,0,43,12.0,0,1,1,3,21,0,0,1
39,4.1,4,1.0,2,0,39,20.0,0,1,1,3,21,0,0,1
31,4.4,4,0.0,1,0,47,16.0,0,0,1,2,21,0,0,0
37,4.5,1,0.0,1,0,26,7.0,0,1,1,2,23,1,0,0
36,4.9,2,2.0,1,0,31,13.0,0,1,0,3,17,0,1,1
37,3.8,4,1.0,1,0,42,20.0,0,0,1,3,20,0,0,1
37,4.4,4,0.0,1,0,39,11.0,0,0,1,3,22,1,0,1
35,4.9,2,2.0,0,0,18,4.0,0,1,0,3,18,0,1,0
22,4.8,4,1.0,1,0,22,13.0,0,0,0,2,20,0,0,0
28,4.8,1,0.0,1,0,23,3.0,0,1,1,3,8,0,1,0
39,4,2,0.0,0,0,48,20.0,0,0,1,3,17,0,1,0
29,4.5,1,1.0,0,0,13,12.0,0,0,0,2,22,1,0,0
39,4.6,3,2.0,1,0,32,3.0,0,0,1,3,11,0,0,0
25,4.9,4,2.0,0,0,16,20.0,0,0,0,2,21,0,0,1
34,5,2,2.0,0,0,19,4.0,0,1,0,2,17,0,1,0
22,4.8,1,1.0,1,0,18,3.0,1,0,1,3,9,0,1,0
27,5,4,0.0,1,0,27,10.0,0,0,1,3,21,0,0,1
28,4.5,2,0.0,1,0,25,10.0,1,0,1,2,17,0,1,1
32,5,2,2.0,1,0,31,4.0,0,0,0,3,18,0,1,0
27,4.6,2,0.0,0,0,20,10.0,1,0,1,3,18,0,1,0
35,3.9,4,1.0,2,0,38,12.0,0,0,1,3,20,0,0,0
22,4.6,1,1.0,1,0,19,4.0,0,0,1,3,23,1,0,0
35,4.7,4,2.0,1,0,17,4.0,1,0,0,3,21,0,0,1
30,4.6,1,0.0,0,0,24,1.0,0,1,1,2,10,0,0,0
39,4.8,3,2.0,1,0,26,3.0,0,1,0,2,11,0,0,0
33,4.8,2,2.0,1,0,28,9.0,0,0,1,3,18,0,1,0
20,4.7,2,2.0,1,0,16,12.0,0,0,0,2,17,0,1,0
20,4.7,2,2.0,0,0,17,4.0,0,1,1,2,18,0,1,0
34,4.2,1,0.0,0,0,24,9.0,0,0,1,2,23,1,0,0
37,4.3,3,2.0,1,0,34,2.0,0,0,0,3,12,0,0,0
20,4.8,1,1.0,1,0,16,1.0,0,1,1,2,9,0,1,0
33,4.9,1,1.0,1,0,26,7.0,0,0,1,3,22,1,0,0
21,5,2,1.0,1,0,25,19.0,0,1,1,3,17,0,1,1
33,4.6,2,0.0,2,0,49,10.0,0,1,1,3,17,0,1,1
24,4.6,2,2.0,0,0,24,12.0,0,0,0,2,18,0,1,0
36,4.7,3,2.0,2,0,32,3.0,0,0,0,3,12,0,0,0
30,4.6,2,0.0,1,0,26,4.0,1,0,1,3,19,0,0,0
32,4.9,1,1.0,1,0,24,13.0,0,0,0,3,0,0,0,0
28,4.6,4,2.0,0,0,16,19.0,0,0,0,3,19,0,0,0
21,4.7,4,2.0,1,0,27,19.0,0,0,0,3,20,0,0,1
39,4.9,3,0.0,1,0,25,3.0,0,1,1,3,11,0,0,1
32,4.7,1,0.0,0,0,26,3.0,0,1,1,3,9,0,1,0
20,4.5,4,1.0,1,0,25,9.0,0,0,0,2,19,0,0,0
36,5,1,2.0,1,0,15,1.0,0,1,0,2,8,0,1,0
28,4.8,1,1.0,1,0,18,3.0,1,0,0,2,11,0,0,0
32,4.5,4,0.0,1,0,30,7.0,0,1,1,3,20,0,0,0
39,4.4,4,1.0,1,0,46,17.0,0,1,0,3,20,0,0,1
30,4.7,1,0.0,1,0,24,16.0,0,0,1,3,22,1,0,0
32,4.4,2,0.0,1,0,37,6.0,0,0,1,3,16,0,1,0
23,4.6,4,0.0,1,0,27,13.0,0,0,1,3,21,0,0,0
31,4.2,2,2.0,1,0,32,9.0,0,0,0,3,17,0,1,0
37,4.6,3,2.0,1,0,28,3.0,0,0,0,2,12,0,0,0
20,4.5,4,0.0,1,0,29,7.0,0,0,1,3,20,0,0,0
28,4.5,1,0.0,1,0,27,1.0,0,0,1,3,10,0,0,0
22,4.9,1,1.0,0,0,11,1.0,0,1,1,3,8,0,1,0
20,4.7,2,1.0,1,0,13,9.0,0,1,1,2,17,0,1,0
34,4.8,1,1.0,1,0,27,19.0,0,0,0,3,22,1,0,1
38,4.8,3,1.0,1,0,25,6.0,0,0,0,3,12,0,0,0
32,4.5,3,2.0,1,0,27,6.0,0,1,1,3,12,0,0,0
34,4.9,1,2.0,1,0,26,16.0,1,0,0,3,23,1,0,1
33,3.9,2,2.0,1,0,32,13.0,0,0,0,3,17,0,1,1
34,4.5,1,1.0,1,0,25,3.0,0,0,1,3,10,0,0,0
32,4.6,4,2.0,1,0,32,4.0,0,0,1,3,22,1,0,0
34,4.7,4,0.0,1,0,29,7.0,1,0,1,3,20,0,0,0
26,4.6,4,1.0,0,0,32,10.0,0,1,0,3,19,0,0,1
31,4,1,0.0,1,0,35,12.0,0,1,1,3,23,1,0,1
39,4.8,3,0.0,1,0,27,6.0,1,0,1,3,15,0,0,0
27,4.8,1,1.0,0,0,15,1.0,1,0,1,3,8,0,1,1
32,5,4,2.0,1,0,27,7.0,0,1,0,2,22,1,0,0
32,4.5,2,0.0,1,0,30,7.0,0,0,1,3,17,0,1,1
39,4.1,2,0.0,1,0,32,10.0,1,0,1,3,18,0,1,0
36,4.8,1,2.0,0,0,25,1.0,0,0,0,3,10,0,0,0
37,4.1,2,0.0,1,0,38,4.0,0,0,1,3,18,0,1,0
37,4.8,4,1.0,1,0,26,9.0,0,1,0,3,21,0,0,0
38,3.7,4,1.0,1,0,31,16.0,0,0,1,3,20,0,0,0
28,4.7,3,2.0,1,0,28,3.0,0,0,0,3,11,0,0,0
34,3.8,2,1.0,0,0,31,16.0,0,0,0,3,18,0,1,1
32,4.9,1,1.0,1,0,29,17.0,0,1,1,3,23,1,0,0
22,4.7,1,1.0,0,0,17,8.0,0,0,1,2,23,1,0,0
31,4,2,0.0,3,1,45,13.0,0,0,1,3,17,0,1,1
27,4,2,0.0,1,0,34,12.0,0,0,1,3,19,0,0,0
29,4.9,4,1.0,0,0,24,17.0,0,0,0,3,19,0,0,0
38,4.8,4,0.0,3,0,44,9.0,0,0,1,3,21,0,0,0
35,4.8,4,2.0,2,0,36,7.0,0,1,1,3,21,0,0,0
31,4.9,4,0.0,0,0,28,4.0,1,0,1,3,20,0,0,0
30,4.3,2,1.0,2,0,37,13.0,0,0,0,3,18,0,1,1
24,4.9,2,1.0,0,0,10,9.0,0,1,1,2,18,0,1,0
33,4.8,1,2.0,0,0,23,13.0,0,0,1,2,23,1,0,1
29,4.6,1,0.0,0,0,22,10.0,0,0,1,3,23,1,0,1
38,4.6,3,2.0,1,0,26,6.0,0,0,0,3,12,0,0,0
26,4.9,4,0.0,1,0,34,9.0,0,0,1,3,20,0,0,0
39,4.8,2,2.0,0,0,26,6.0,0,0,0,3,16,0,1,0
34,4.2,1,0.0,1,0,28,9.0,0,0,1,3,23,1,0,0
26,4.7,1,2.0,0,0,14,8.0,0,0,1,3,22,1,0,0
35,4.7,2,2.0,1,0,17,6.0,0,1,1,3,15,0,0,0
36,4.2,2,0.0,1,0,37,4.0,0,0,1,3,18,0,1,0
24,2.6,1,1.0,1,1,42,16.0,1,0,1,3,22,1,0,1
33,4.3,2,1.0,1,0,34,16.0,0,1,1,3,17,0,1,1
26,4.6,2,1.0,1,0,25,16.0,0,0,1,3,18,0,1,1
32,5,4,1.0,1,0,30,17.0,0,0,0,2,19,0,0,1
37,4.9,4,0.0,2,0,48,13.0,0,1,1,3,19,0,0,0
26,4.9,1,2.0,1,0,18,20.0,0,0,0,3,0,0,0,1
31,4.8,1,1.0,0,0,28,20.0,0,0,0,3,23,1,0,0
37,4.6,2,1.0,1,0,26,13.0,0,0,1,2,17,0,1,1
26,4.7,4,2.0,0,0,16,16.0,1,0,0,2,22,1,0,1
37,4.8,4,0.0,0,0,25,4.0,0,1,1,3,20,0,0,0
22,4.6,4,2.0,0,0,22,20.0,1,0,1,3,20,0,0,1
21,4.4,1,0.0,0,0,15,4.0,0,0,1,3,22,1,0,0
22,4,1,0.0,1,0,28,1.0,0,0,1,2,9,0,1,0
38,4.5,1,1.0,1,0,20,1.0,0,0,1,2,10,0,0,0
28,4,3,0.0,1,0,32,6.0,0,0,1,3,13,0,0,0
